;name;room;seats;address;lon;lat
231;Passage;2;56;Karl-Marx-Straße 131-133 12043 Berlin Neukölln;13,4388328;52,4775146
232;Passage;3;69;Karl-Marx-Straße 131-133 12043 Berlin Neukölln;13,4388328;52,4775146
233;Passage;4;48;Karl-Marx-Straße 131-133 12043 Berlin Neukölln;13,4388328;52,4775146
234;Rollberg Kinos;1;150;Hermannstraße 214-216 12049 Berlin Neukölln;13,4258959;52,47865
235;Rollberg Kinos;2;113;Hermannstraße 214-216 12049 Berlin Neukölln;13,4258959;52,47865
236;Rollberg Kinos;3;89;Hermannstraße 214-216 12049 Berlin Neukölln;13,4258959;52,47865
237;Rollberg Kinos;4;67;Hermannstraße 214-216 12049 Berlin Neukölln;13,4258959;52,47865
238;Rollberg Kinos;5;44;Hermannstraße 214-216 12049 Berlin Neukölln;13,4258959;52,47865
239;Russisches Haus;1;164;Friedrichstraße 176-179 10117 Berlin Mitte;13,389301;52,5132533
240;Sony Center;1;184;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
241;Sony Center;2;277;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
242;Sony Center;3;367;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
243;Sony Center;4;184;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
244;Sony Center;5;277;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
245;Sony Center;6;142;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
246;Sony Center;7;360;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
247;Sony Center;8;519;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
248;"Sputnik
Kino";1;70;Hasenheide 54 10967 Berlin Kreuzberg (030) 694 11 47Homepage;13,409935;52,488941
249;"Sputnik
Kino";2;23;Hasenheide 54 10967 Berlin Kreuzberg (030) 694 11 47Homepage;13,409935;52,488941
250;Thalia;1;238;Kaiser-Wilhelm-Straße 71 12247 Berlin Steglitz;13,3442674;52,4354278
251;Thalia;2;20;Kaiser-Wilhelm-Straße 71 12247 Berlin Steglitz;13,3442674;52,4354278
252;Thalia;3;91;Kaiser-Wilhelm-Straße 71 12247 Berlin Steglitz;13,3442674;52,4354278
253;Thalia;4;57;Kaiser-Wilhelm-Straße 71 12247 Berlin Steglitz;13,3442674;52,4354278
254;Tilsiter Lichtspiele;1;66;Richard-Sorge-Straße 25A 10249 Berlin Friedrichshain;13,44801;52,52086
255;Titania Palast;1;396;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
256;Titania Palast;2;209;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
257;Titania Palast;3;210;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
258;Titania Palast;4;85;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
259;Titania Palast;5;103;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
260;Titania Palast;6;106;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
261;Titania Palast;7;114;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
262;Toni & Tonino;1;145;Antonplatz 13086 Berlin Weißensee (030) 927 912 00Homepage;13,45105;52,54853
263;Toni & Tonino;2;102;Antonplatz 13086 Berlin Weißensee (030) 927 912 00Homepage;13,45105;52,54853
264;UCI Kinowelt Colosseum;1;525;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
265;UCI Kinowelt Colosseum;2;162;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
266;UCI Kinowelt Colosseum;3;139;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
267;UCI Kinowelt Colosseum;4;149;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
268;UCI Kinowelt Colosseum;5;152;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
269;UCI Kinowelt Colosseum;6;354;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
270;UCI Kinowelt Colosseum;7;354;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
271;UCI Kinowelt Colosseum;8;243;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
272;UCI Kinowelt Colosseum;9;135;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
273;UCI Kinowelt Colosseum;10;437;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
274;UCI Kinowelt am Eastgate;1;359;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
275;UCI Kinowelt am Eastgate;2;243;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
276;UCI Kinowelt am Eastgate;3;243;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
277;UCI Kinowelt am Eastgate;4;243;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
278;UCI Kinowelt am Eastgate;5;147;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
279;UCI Kinowelt am Eastgate;6;147;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
280;UCI Kinowelt am Eastgate;7;133;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
281;UCI Kinowelt am Eastgate;8;133;Märkische Allee 176-178 12681 Berlin Marzahn;13,5415616;52,5422342
282;UCI Kinowelt Friedrichshain;1;515;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
283;UCI Kinowelt Friedrichshain;2;240;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
284;UCI Kinowelt Friedrichshain;3;194;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
285;UCI Kinowelt Friedrichshain;4;300;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
286;UCI Kinowelt Friedrichshain;5;176;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
287;UCI Kinowelt Friedrichshain;6;193;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
288;UCI Kinowelt Friedrichshain;7;300;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
289;UCI Kinowelt Friedrichshain;8;177;Landsberger Allee 54 10249 Berlin Friedrichshain (030) 422 042 20Homepage;13,4434;52,52453
290;UCI Kinowelt Gropius Passagen;1;184;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
291;UCI Kinowelt Gropius Passagen;2;172;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
292;UCI Kinowelt Gropius Passagen;3;200;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
293;UCI Kinowelt Gropius Passagen;4;491;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
294;UCI Kinowelt Gropius Passagen;5;324;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
295;UCI Kinowelt Gropius Passagen;6;334;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
296;Xenon;1;137;Kolonnenstraße 5 10827 Berlin Schöneberg;13,3592355;52,4863107
297;Yorck;1;228;Yorckstraße 86 10965 Berlin Kreuzberg (030) 789 132 40Homepage;13,38511;52,49307
298;Yorck;2;95;Yorckstraße 86 10965 Berlin Kreuzberg (030) 789 132 40Homepage;13,38511;52,49307
299;Zeughauskino;1;168;Unter den Linden 2 10117 Berlin Mitte (030) 203 04 770Homepage;13,3968884;52,5176866
300;Z-inema;1;35;Bergstraße 2 10115 Berlin Mitte (030) 283 89 121Homepage;13,39573;52,52948
301;Zukunft;1;48;Laskerstraße 5a 10245 Berlin Friedrichshain (0176) 578 610 79Homepage;13,4666;52,5013
302;Zukunft;2;25;Laskerstraße 5a 10245 Berlin Friedrichshain (0176) 578 610 79Homepage;13,4666;52,5013
303;CineStar Kino in der\n  Kulturbrauerei;1;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
304;CineStar Kino in der\n  Kulturbrauerei;2;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
305;CineStar Kino in der\n  Kulturbrauerei;3;444;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
306;CineStar Kino in der\n  Kulturbrauerei;4;254;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
307;CineStar Kino in der\n  Kulturbrauerei;5;162;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
308;CineStar Kino in der\n  Kulturbrauerei;6;241;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
309;CineStar Kino in der\n  Kulturbrauerei;7;265;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
310;CineStar Kino in der\n  Kulturbrauerei;8;75;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
311;CUBIX CineStar Alexanderplatz;1;147;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
312;CUBIX CineStar Alexanderplatz;2;147;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
313;CUBIX CineStar Alexanderplatz;3;147;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
314;CUBIX CineStar Alexanderplatz;4;147;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
315;CUBIX CineStar Alexanderplatz;5;237;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
316;CUBIX CineStar Alexanderplatz;6;237;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
317;CUBIX CineStar Alexanderplatz;7;314;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
318;CUBIX CineStar Alexanderplatz;8;314;Rathausstraße 1 10178 Berlin Mitte;13,41172;52,52053
319;Delphi Filmpalast am Zoo;1;563;Kantstraße 12a 10623 Berlin Charlottenburg;13,32859;52,50598
320;Kant Kino;1;269;Kantstraße 54 10627 Berlin Charlottenburg;13,30834;52,5069
321;Kant Kino;2;95;Kantstraße 54 10627 Berlin Charlottenburg;13,30834;52,5069
322;Kant Kino;3;22;Kantstraße 54 10627 Berlin Charlottenburg;13,30834;52,5069
323;Kant Kino;4;61;Kantstraße 54 10627 Berlin Charlottenburg;13,30834;52,5069
324;Kant Kino;5;59;Kantstraße 54 10627 Berlin Charlottenburg;13,30834;52,5069
325;Zoo Palast;1;781;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
326;Zoo Palast;2;273;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
327;Zoo Palast;3;159;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
328;Zoo Palast;4;161;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
329;Zoo Palast;5;157;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
330;Zoo Palast;6;36;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
331;Zoo Palast;7;39;Hardenbergstraße 29a 10623 Berlin Charlottenburg;13,33421;52,5059
