;name;room;seats;address;lon;lat
54;CinemaxX Potsdamer Platz;17;48;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
55;CinemaxX Potsdamer Platz;18;48;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
56;CinemaxX Potsdamer Platz;19;48;Voxstraße 2 10785 Berlin Tiergarten 01805 - 246 362 99 (Karten)Homepage;13,3734979;52,5085075
57;CineMotion Hohenschönhausen;1;230;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
58;CineMotion Hohenschönhausen;2;153;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
59;CineMotion Hohenschönhausen;3;502;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
60;CineMotion Hohenschönhausen;4;50;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
61;CineMotion Hohenschönhausen;5;153;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
62;CineMotion Hohenschönhausen;6;230;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
63;CineMotion Hohenschönhausen;7;251;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
64;CineMotion Hohenschönhausen;8;146;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
65;CineMotion Hohenschönhausen;9;146;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
66;CineMotion Hohenschönhausen;10;235;Wartenberger Straße 174 13053 Berlin Hohenschönhausen;13,50885;52,56571
67;"CINEPLEX
- Alhambra";1;358;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
68;"CINEPLEX
- Alhambra";2;342;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
69;"CINEPLEX
- Alhambra";3;120;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
70;"CINEPLEX
- Alhambra";4;208;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
71;"CINEPLEX
- Alhambra";5;111;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
72;"CINEPLEX
- Alhambra";6;147;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
73;"CINEPLEX
- Alhambra";7;138;Seestraße 94 13347 Berlin Wedding 01805 050 311Homepage;13,35105;52,5505
74;CINEPLEX - Neukölln;1;516;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
75;CINEPLEX - Neukölln;2;194;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
76;CINEPLEX - Neukölln;3;359;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
77;CINEPLEX - Neukölln;4;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
78;CINEPLEX - Neukölln;5;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
79;CINEPLEX - Neukölln;6;278;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
80;CINEPLEX - Neukölln;7;274;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
81;CINEPLEX - Neukölln;8;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
82;CINEPLEX - Neukölln;9;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
83;"CINEPLEX
- Spandau";1;258;Havelstraße 20 13597 Berlin Spandau 01805-050 211Homepage;13,206239;52,5384784
84;"CINEPLEX
- Spandau";2;300;Havelstraße 20 13597 Berlin Spandau 01805-050 211Homepage;13,206239;52,5384784
85;"CINEPLEX
- Spandau";3;158;Havelstraße 20 13597 Berlin Spandau 01805-050 211Homepage;13,206239;52,5384784
86;"CINEPLEX
- Spandau";4;135;Havelstraße 20 13597 Berlin Spandau 01805-050 211Homepage;13,206239;52,5384784
87;"CINEPLEX
- Spandau";5;164;Havelstraße 20 13597 Berlin Spandau 01805-050 211Homepage;13,206239;52,5384784
88;CINEPLEX - Titania;1;396;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
89;CINEPLEX - Titania;2;209;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
90;CINEPLEX - Titania;3;210;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
91;CINEPLEX - Titania;4;85;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
92;CINEPLEX - Titania;5;103;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
93;CINEPLEX - Titania;6;106;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
94;CINEPLEX - Titania;7;114;Schloßstraße 5-6 12163 Berlin Steglitz;13,3270882;52,4637028
95;"CineStar
Hellersdorf";1;2;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
96;"CineStar
Hellersdorf";2;137;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
97;"CineStar
Hellersdorf";3;154;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
98;"CineStar
Hellersdorf";4;464;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
99;"CineStar
Hellersdorf";5;222;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
100;"CineStar
Hellersdorf";6;222;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
101;"CineStar
Hellersdorf";7;159;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
102;"CineStar
Hellersdorf";8;110;Stendaler Straße 25 12627 Berlin Hellersdorf;13,6039992;52,5383392
103;CineStar IMAX;1;328;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
104;"CineStar Kino in der
  Kulturbrauerei";1;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
105;"CineStar Kino in der
  Kulturbrauerei";2;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
106;"CineStar Kino in der
  Kulturbrauerei";3;444;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
107;"CineStar Kino in der
  Kulturbrauerei";4;254;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
108;"CineStar Kino in der
  Kulturbrauerei";5;162;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
109;"CineStar Kino in der
  Kulturbrauerei";6;241;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
110;"CineStar Kino in der
  Kulturbrauerei";7;265;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
111;"CineStar Kino in der
  Kulturbrauerei";8;75;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
112;"CineStar
Original im
  Sony Center";1;184;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
113;"CineStar
Original im
  Sony Center";2;277;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
114;"CineStar
Original im
  Sony Center";3;367;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
115;"CineStar
Original im
  Sony Center";4;184;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
116;"CineStar
Original im
  Sony Center";5;277;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
117;"CineStar
Original im
  Sony Center";6;142;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
118;"CineStar
Original im
  Sony Center";7;360;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
119;"CineStar
Original im
  Sony Center";8;519;Sony Center Potsdamer Straße 4 10785 Berlin Tiergarten;13,3734078;52,5100122
120;CineStar Tegel;1;477;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
121;CineStar Tegel;2;148;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
122;CineStar Tegel;3;314;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
123;CineStar Tegel;4;223;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
124;CineStar Tegel;5;223;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
125;CineStar Tegel;6;314;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
126;CineStar Tegel;7;148;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
127;CineStar Tegel;8;314;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
128;CineStar Tegel;9;149;Am Borsigturm 2 13507 Berlin Reinickendorf (030) 430 902 10Homepage;13,287079;52,5837733
129;CineStar Treptower Park;1;419;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
130;CineStar Treptower Park;2;279;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
131;CineStar Treptower Park;3;175;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
132;CineStar Treptower Park;4;140;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
133;CineStar Treptower Park;5;480;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
134;CineStar Treptower Park;6;346;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
135;CineStar Treptower Park;7;214;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
136;CineStar Treptower Park;8;165;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
137;CineStar Treptower Park;9;145;Elsenstraße 115-116 12435 Berlin Treptow (030) 538 94 22Homepage;13,45982;52,49211
138;City Wedding;1;230;Müllerstraße 74 13349 Berlin Wedding 0177 270 19 76Homepage KinoHomepage;13,33905;52,55843
139;Colosseum;1;525;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
140;Colosseum;2;162;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
141;Colosseum;3;139;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
142;Colosseum;4;149;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
143;Colosseum;5;152;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
144;Colosseum;6;354;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
145;Colosseum;7;354;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
146;Colosseum;8;243;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
147;Colosseum;9;135;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
148;Colosseum;10;437;Schönhauser Allee 123 10437 Berlin Prenzlauer Berg;13,41141;52,54774
149;Cosima;1;250;Sieglindestraße 10 12159 Berlin Schöneberg;13,3302793;52,4769629
150;"Downstairs
Kino";1;28;Schliemannstraße 15 10437 Berlin Prenzlauer Berg (030) 810 190 50Homepage;13,4198467;52,5436282
151;Eiszeit;1;89;Zeughofstraße 20 10997 Berlin Kreuzberg;13,43328;52,50023
152;Eiszeit;2;53;Zeughofstraße 20 10997 Berlin Kreuzberg;13,43328;52,50023
153;Eva Lichtspiele;1;250;Blissestraße 18 10713 Berlin Wilmersdorf (030) 922 55 305Homepage;13,31972;52,4847
154;FaF (Filmtheater am  Friedrichshain);1;323;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
155;FaF (Filmtheater am  Friedrichshain);2;213;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
156;FaF (Filmtheater am  Friedrichshain);3;98;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
157;FaF (Filmtheater am  Friedrichshain);4;113;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
158;FaF (Filmtheater am  Friedrichshain);5;129;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
159;Filmcafé;1;28;Schliemannstraße 15 10437 Berlin Prenzlauer Berg (030) 810 190 50Homepage;13,4198467;52,5436282
160;Filmkunst 66;1;156;Bleibtreustraße 12 10623 Berlin Charlottenburg;13,3195;52,50436
161;Filmkunst 66;2;50;Bleibtreustraße 12 10623 Berlin Charlottenburg;13,3195;52,50436
